instance_id,variant,apply_kind,dbt_deps_rc,dbt_run_rc,dbt_test_rc,pass_n,err_n,score_rate,score_matched,score_total,wall_time_s
asana001,v1,sql_file,0,2,2,0,0,0.0,0,1,62.8
asana001,v2,sql_file,0,2,2,0,0,0.0,0,1,56.3
asana001,v4,diff,0,1,1,30,21,,,,40.2
playbook001,v1,sql_file,0,1,0,0,0,1.0,1,1,43.0
playbook001,v2,sql_file,0,2,2,0,0,1.0,1,1,40.3
playbook001,v4,diff,0,0,0,0,0,1.0,1,1,42.8
retail001,v1,sql_file,0,2,2,0,0,1.0,1,1,29.8
retail001,v2,sql_file,0,2,2,0,0,1.0,1,1,25.5
retail001,v4,diff,0,2,2,0,0,1.0,1,1,29.3
recharge002,v1,sql_file,0,2,2,0,0,0.0,0,1,41.0
recharge002,v2,sql_file,0,2,2,0,0,0.0,0,1,47.9
recharge002,v4,diff,0,2,2,0,0,0.0,0,1,76.4
xero001,v1,sql_file,0,2,2,0,0,0.0,0,1,47.7
xero001,v2,sql_file,0,2,2,0,0,0.0,0,1,34.3
xero001,v4,diff,0,2,2,0,0,0.0,0,1,34.9
lever001,v1,sql_file,0,2,2,0,0,0.0,0,1,47.4
lever001,v2,sql_file,0,2,2,0,0,0.0,0,1,68.5
lever001,v4,diff,0,0,0,58,0,1.0,1,1,52.2
