instance_id,variant,apply_kind,dbt_deps_rc,dbt_run_rc,dbt_test_rc,pass_n,err_n,score_rate,score_matched,score_total,wall_time_s
provider001,v4,fallback_sql,0,2,2,0,0,0.0,0,1,68.8
asana001,v4,diff,0,1,1,30,21,0.0,0,1,38.4
shopify001,v4,diff,0,0,1,85,3,0.0,0,1,56.4
asset001,v4,diff,0,0,0,0,0,0.0,0,1,35.4
flicks001,v4,diff,0,2,2,0,0,0.0,0,1,29.7
analytics_engineering001,v4,diff,0,0,0,2,0,0.0,0,1,32.0
xero_new001,v4,fallback_sql,0,1,0,16,0,0.0,0,1,73.8
chinook001,v4,diff,0,1,0,60,0,0.0,0,1,48.0
workday002,v4,diff,0,1,1,42,23,0.0,0,1,38.1
scd001,v4,diff,0,0,0,14,0,0.0,0,1,31.2
airport001,v4,diff,0,0,1,4,1,0.0,0,1,27.9
salesforce001,v4,diff,0,2,2,0,0,1.0,1,1,29.8
recharge001,v4,fallback_sql,0,2,2,0,0,0.0,0,1,73.8
maturity001,v4,diff,0,2,2,0,0,0.0,0,1,33.4
tpch002,v4,diff,0,1,1,0,5,0.0,0,1,35.7
nba001,v4,diff,0,0,0,38,0,0.0,0,1,55.6
quickbooks001,v4,diff,0,2,2,0,0,0.0,0,1,40.0
