baseline,model,benchmark,EX,EX_full,metric_type
B0,Qwen2.5-Coder-7B,smoke_10,1.0000,1.0000 (10/10),EX
B1,Qwen2.5-Coder-7B,smoke_10,1.0000,1.0000 (10/10),EX
B2_v2,Qwen2.5-Coder-7B,smoke_10,0.8000,0.8000 (8/10),EX
B3_v2,Qwen2.5-Coder-7B,smoke_10,0.8000,0.8000 (8/10),EX
B4_v2,Qwen2.5-Coder-7B,smoke_10,0.8000,0.8000 (8/10),EX
B0,Qwen2.5-Coder-7B,smoke_25,0.9600,0.9600 (24/25),EX
B1,Qwen2.5-Coder-7B,smoke_25,0.9600,0.9600 (24/25),EX
B2_v2,Qwen2.5-Coder-7B,smoke_25,0.9600,0.9600 (24/25),EX
B3_v2,Qwen2.5-Coder-7B,smoke_25,0.9600,0.9600 (24/25),EX
B4_v2,Qwen2.5-Coder-7B,smoke_25,0.9600,0.9600 (24/25),EX
B0,Qwen2.5-Coder-7B,multidb_30,0.9333,0.9333 (28/30),EX
B1,Qwen2.5-Coder-7B,multidb_30,0.7667,0.7667 (23/30),EX
B2_v2,Qwen2.5-Coder-7B,multidb_30,0.8000,0.8000 (24/30),EX
B3_v2,Qwen2.5-Coder-7B,multidb_30,0.7333,0.7333 (22/30),EX
B4_v2,Qwen2.5-Coder-7B,multidb_30,0.7333,0.7333 (22/30),EX
B0,Llama-3.1-8B,smoke_10,0.8000,0.8000 (8/10),EX
B1,Llama-3.1-8B,smoke_10,0.9000,0.9000 (9/10),EX
B2_v2,Llama-3.1-8B,smoke_10,0.8000,0.8000 (8/10),EX
B3_v2,Llama-3.1-8B,smoke_10,0.8000,0.8000 (8/10),EX
B4_v2,Llama-3.1-8B,smoke_10,0.8000,0.8000 (8/10),EX
B0,Llama-3.1-8B,smoke_25,0.6000,0.6000 (15/25),EX
B1,Llama-3.1-8B,smoke_25,0.7200,0.7200 (18/25),EX
B2_v2,Llama-3.1-8B,smoke_25,0.8000,0.8000 (20/25),EX
B0,Llama-3.1-8B,multidb_30,0.8333,0.8333 (25/30),EX
B1,Llama-3.1-8B,multidb_30,0.7000,0.7000 (21/30),EX
B2_v2,Llama-3.1-8B,multidb_30,0.7333,0.7333 (22/30),EX
B0,Qwen2.5-Coder-14B,smoke_10,1.0000,1.0000 (10/10),EX
B1,Qwen2.5-Coder-14B,smoke_10,1.0000,1.0000 (10/10),EX
B0,Qwen2.5-Coder-14B,smoke_25,0.9600,0.9600 (24/25),EX
B1,Qwen2.5-Coder-14B,smoke_25,0.9200,0.9200 (23/25),EX
B0,Qwen2.5-Coder-14B,multidb_30,0.8667,0.8667 (26/30),EX
B1,Qwen2.5-Coder-14B,multidb_30,0.7667,0.7667 (23/30),EX
B0,Qwen2.5-Coder-7B,BIRD-mini-dev,0.2667,0.2667 (8/30),EX
B1,Qwen2.5-Coder-7B,BIRD-mini-dev,0.2000,0.2000 (6/30),EX
B2_v2,Qwen2.5-Coder-7B,BIRD-mini-dev,0.2000,0.2000 (6/30),EX
B0,Llama-3.1-8B,BIRD-mini-dev,0.1333,0.1333 (4/30),EX
B1,Llama-3.1-8B,BIRD-mini-dev,0.1333,0.1333 (4/30),EX
B2_v2,Llama-3.1-8B,BIRD-mini-dev,0.0667,0.0667 (2/30),EX
