instance_id,alias,n_columns_indexed,n_tables_indexed,top_db,top_table,top_table_score,pack_token_budget
bq011,ga4,422562,3989,bigquery-public-data,bigquery-public-data.ga4_obfuscated_sample_ecommerce.events_20210109,8.35,1706
bq010,ga360,422562,3989,bigquery-public-data,bigquery-public-data.google_analytics_sample.ga_sessions_20170710,4.21,13829
bq009,ga360,422562,3989,bigquery-public-data,bigquery-public-data.google_analytics_sample.ga_sessions_20170127,21.07,1859
bq001,ga360,422562,3989,bigquery-public-data,bigquery-public-data.google_analytics_sample.ga_sessions_20170127,23.67,1859
bq002,ga360,422562,3989,bigquery-public-data,bigquery-public-data.google_analytics_sample.ga_sessions_20170710,21.12,13831
bq003,ga360,422562,3989,bigquery-public-data,bigquery-public-data.google_analytics_sample.ga_sessions_20170127,31.9,1857
bq004,ga360,422562,3989,bigquery-public-data,bigquery-public-data.google_analytics_sample.ga_sessions_20170710,15.5,13829
bq008,ga360,422562,3989,bigquery-public-data,bigquery-public-data.google_analytics_sample.ga_sessions_20170127,15.76,13754
bq269,ga360,422562,3989,bigquery-public-data,bigquery-public-data.google_analytics_sample.ga_sessions_20170127,24.29,1345
bq268,ga360,422562,3989,bigquery-public-data,bigquery-public-data.google_analytics_sample.ga_sessions_20170127,34.23,2133
bq270,ga360,422562,3989,bigquery-public-data,bigquery-public-data.google_analytics_sample.ga_sessions_20170127,6.97,1856
bq275,ga360,422562,3989,bigquery-public-data,bigquery-public-data.google_analytics_sample.ga_sessions_20170127,16.0,2131
bq374,ga360,422562,3989,bigquery-public-data,bigquery-public-data.google_analytics_sample.ga_sessions_20170127,20.1,1857
bq019,cms_data,422562,3989,bigquery-public-data,bigquery-public-data.cms_medicare.inpatient_charges_2014,634.62,3839
bq234,cms_data,422562,3989,bigquery-public-data,bigquery-public-data.cms_medicare.nursing_facilities_2014,55.19,3895
bq235,cms_data,422562,3989,bigquery-public-data,bigquery-public-data.cms_medicare.outpatient_charges_2014,193.9,2697
bq172,cms_data,422562,3989,bigquery-public-data,bigquery-public-data.cms_medicare.referring_durable_medical_equip_2014,592.55,4578
bq177,cms_data,422562,3989,bigquery-public-data,bigquery-public-data.cms_medicare.home_health_agencies_2014,951.29,3036
bq354,cms_data,422562,3989,bigquery-public-data,bigquery-public-data.cms_medicare.referring_durable_medical_equip_2013,450.83,3621
bq355,cms_data,422562,3989,bigquery-public-data,bigquery-public-data.cms_medicare.referring_durable_medical_equip_2013,94.83,4987
bq032,noaa_data,422562,3989,bigquery-public-data,bigquery-public-data.noaa_hurricanes.hurricanes,119.18,3059
bq119,noaa_data,422562,3989,bigquery-public-data,bigquery-public-data.noaa_hurricanes.hurricanes,115.21,3740
bq419,noaa_data,422562,3989,bigquery-public-data,bigquery-public-data.noaa_historic_severe_storms.storms_1980,268.22,2288
bq356,noaa_data,422562,3989,bigquery-public-data,bigquery-public-data.noaa_gsod.gsod2019,408.29,3700
bq042,noaa_data,422562,3989,bigquery-public-data,bigquery-public-data.noaa_hurricanes.hurricanes,142.96,4114
bq394,noaa_data,422562,3989,bigquery-public-data,bigquery-public-data.noaa_icoads.icoads_core_2014,192.29,4460
bq357,noaa_data,422562,3989,bigquery-public-data,bigquery-public-data.noaa_icoads.icoads_core_2005,264.17,4427
bq181,noaa_data,422562,3989,bigquery-public-data,bigquery-public-data.noaa_gsod.stations,355.72,3796
bq045,noaa_data,422562,3989,bigquery-public-data,bigquery-public-data.noaa_gsod.stations,234.84,3747
bq290,noaa_data,422562,3989,bigquery-public-data,bigquery-public-data.noaa_icoads.icoads_core_2008,129.0,4157
bq031,noaa_data,422562,3989,bigquery-public-data,bigquery-public-data.noaa_icoads.icoads_core_2008,158.06,4139
bq392,noaa_gsod,422562,3989,bigquery-public-data,bigquery-public-data.noaa_gsod.gsod2009,96.78,580
bq208,new_york_noaa,422562,3989,bigquery-public-data,bigquery-public-data.new_york.citibike_stations,410.82,2539
bq047,new_york_noaa,422562,3989,bigquery-public-data,bigquery-public-data.new_york.nypd_mv_collisions,341.9,2601
bq048,new_york_noaa,422562,3989,bigquery-public-data,bigquery-public-data.new_york.311_service_requests,272.43,2526
bq293,new_york_geo,422562,3989,bigquery-public-data,bigquery-public-data.new_york.tlc_yellow_trips_2015,1652.93,2786
bq034,ghcn_d,422562,3989,bigquery-public-data,bigquery-public-data.ghcn_d.ghcnd_stations,108.49,326
bq383,ghcn_d,422562,3989,bigquery-public-data,bigquery-public-data.ghcn_d.ghcnd_2013,8.99,878
bq051,new_york_ghcn,422562,3989,bigquery-public-data,bigquery-public-data.new_york.citibike_trips,747.14,2525
bq038,new_york,422562,3989,bigquery-public-data,bigquery-public-data.new_york.citibike_trips,592.5,2617
bq053,new_york,422562,3989,bigquery-public-data,bigquery-public-data.new_york.tree_census_2015,752.35,2085
bq054,new_york,422562,3989,bigquery-public-data,bigquery-public-data.new_york.tree_census_1995,787.0,2566
bq021,new_york,422562,3989,bigquery-public-data,bigquery-public-data.new_york.tlc_yellow_trips_2016,198.47,2762
bq202,new_york_plus,422562,3989,bigquery-public-data,bigquery-public-data.new_york_taxi_trips.tlc_green_trips_2018,631.66,3106
bq185,new_york_plus,422562,3989,bigquery-public-data,bigquery-public-data.new_york_taxi_trips.tlc_yellow_trips_2016,245.25,2175
bq040,new_york_plus,422562,3989,bigquery-public-data,bigquery-public-data.new_york_taxi_trips.tlc_yellow_trips_2016,398.38,2061
bq098,new_york_plus,422562,3989,bigquery-public-data,bigquery-public-data.new_york_taxi_trips.tlc_yellow_trips_2016,617.24,2061
bq039,new_york_plus,422562,3989,bigquery-public-data,bigquery-public-data.new_york_taxi_trips.tlc_yellow_trips_2016,390.13,2137
bq203,new_york_plus,422562,3989,bigquery-public-data,bigquery-public-data.new_york_subway.stations,615.78,2372
bq035,san_francisco,422562,3989,bigquery-public-data,bigquery-public-data.san_francisco.bikeshare_trips,502.17,2470
