instance_id,alias,n_columns_indexed,n_tables_indexed,top_db,top_table,top_table_score,pack_token_budget
bq011,ga4,422562,3989,bigquery-public-data,bigquery-public-data.ga4_obfuscated_sample_ecommerce.events_20210109,8.35,1706
bq010,ga360,422562,3989,bigquery-public-data,bigquery-public-data.google_analytics_sample.ga_sessions_20170710,4.21,13829
bq009,ga360,422562,3989,bigquery-public-data,bigquery-public-data.google_analytics_sample.ga_sessions_20170127,21.07,1859
bq001,ga360,422562,3989,bigquery-public-data,bigquery-public-data.google_analytics_sample.ga_sessions_20170127,23.67,1859
bq002,ga360,422562,3989,bigquery-public-data,bigquery-public-data.google_analytics_sample.ga_sessions_20170710,21.12,13831
bq003,ga360,422562,3989,bigquery-public-data,bigquery-public-data.google_analytics_sample.ga_sessions_20170127,31.9,1857
bq004,ga360,422562,3989,bigquery-public-data,bigquery-public-data.google_analytics_sample.ga_sessions_20170710,15.5,13829
bq008,ga360,422562,3989,bigquery-public-data,bigquery-public-data.google_analytics_sample.ga_sessions_20170127,15.76,13754
bq269,ga360,422562,3989,bigquery-public-data,bigquery-public-data.google_analytics_sample.ga_sessions_20170127,24.29,1345
bq268,ga360,422562,3989,bigquery-public-data,bigquery-public-data.google_analytics_sample.ga_sessions_20170127,34.23,2133
bq270,ga360,422562,3989,bigquery-public-data,bigquery-public-data.google_analytics_sample.ga_sessions_20170127,6.97,1856
bq275,ga360,422562,3989,bigquery-public-data,bigquery-public-data.google_analytics_sample.ga_sessions_20170127,16.0,2131
bq374,ga360,422562,3989,bigquery-public-data,bigquery-public-data.google_analytics_sample.ga_sessions_20170127,20.1,1857
bq019,cms_data,422562,3989,bigquery-public-data,bigquery-public-data.cms_medicare.inpatient_charges_2014,634.62,3839
bq234,cms_data,422562,3989,bigquery-public-data,bigquery-public-data.cms_medicare.nursing_facilities_2014,55.19,3895
