metric,value
completed,true
EX,0.0
executable_count,0
total,30
model,Qwen/Qwen2.5-7B-Instruct
subset,spider2lite_30
benchmark_group,external_validation
quantization,bf16
schema_strategy,full_schema
evaluation_mode,prediction_only_structural_metrics
avg_len_chars,515.4333333333333
avg_len_tokens_est,53.233333333333334
pct_starts_with_select,100.0
pct_has_join,56.666666666666664
pct_has_groupby,66.66666666666667
pct_has_orderby,46.666666666666664
pct_has_limit,30.0
pct_safe_select,96.66666666666667
