metric,value
completed,true
EX,0.0
executable_count,0
total,30
model,Qwen/Qwen2.5-Coder-7B-Instruct
subset,spider2lite_30
benchmark_group,external_validation
quantization,bf16
schema_strategy,lexical_schema_linking
avg_reduction_ratio,0.8373076923076923
evaluation_mode,prediction_only_structural_metrics
avg_len_chars,401.6
avg_len_tokens_est,43.233333333333334
pct_starts_with_select,100.0
pct_has_join,40.0
pct_has_groupby,60.0
pct_has_orderby,40.0
pct_has_limit,26.666666666666668
pct_safe_select,96.66666666666667
