metric,value
completed,true
EX,0.06666666666666667
executable_count,16
total,30
model,meta-llama/Llama-3.1-8B-Instruct
subset,bird_minidev_30
benchmark_group,external_validation
quantization,bf16
schema_strategy,full_schema_planner_full_schema_synth
plan_validator,plan_schema_v1
fallback_policy,b1_on_invalid_plan
gold_execution,sqlite_minidev
avg_len_chars,151.16666666666666
avg_len_tokens_est,22.233333333333334
pct_starts_with_select,100.0
pct_has_join,50.0
pct_has_groupby,10.0
pct_has_orderby,10.0
pct_has_limit,10.0
pct_safe_select,100.0
