metric,value
completed,true
EX,0.7333333333333333
executable_count,29
total,30
model,meta-llama/Llama-3.1-8B-Instruct
subset,multidb_30
benchmark_group,internal_core
quantization,bf16
plan_validator,plan_schema_v1
fallback_policy,b1_on_invalid_plan
avg_reduction_ratio,0.5527777777777777
schema_strategy,full_schema_planner_full_schema_synth
patches,"distinct_cue,superlative_subquery,anti_overengineering"
avg_len_chars,65.86666666666666
avg_len_tokens_est,8.566666666666666
pct_starts_with_select,100.0
pct_has_join,13.333333333333334
pct_has_groupby,10.0
pct_has_orderby,16.666666666666668
pct_has_limit,0.0
pct_safe_select,100.0
