metric,value
completed,true
EX,0.2
executable_count,22
total,30
model,Qwen/Qwen2.5-Coder-7B-Instruct
subset,bird_minidev_30
benchmark_group,external_validation
quantization,bf16
schema_strategy,full_schema_planner_full_schema_synth
plan_validator,plan_schema_v1
fallback_policy,b1_on_invalid_plan
gold_execution,sqlite_minidev
avg_len_chars,171.23333333333332
avg_len_tokens_est,25.566666666666666
pct_starts_with_select,100.0
pct_has_join,50.0
pct_has_groupby,13.333333333333334
pct_has_orderby,20.0
pct_has_limit,20.0
pct_safe_select,100.0
