metric,value
completed,true
EX,0.0
executable_count,0
total,30
model,Qwen/Qwen2.5-Coder-7B-Instruct
subset,spider2lite_30
benchmark_group,external_validation
quantization,bf16
schema_strategy,full_schema_proxy_planner_full_schema_synth
plan_validator,plan_schema_v1
fallback_policy,b1_on_invalid_plan
gold_execution,NOT_AVAILABLE_bigquery_snowflake_only
evaluation_mode,prediction_only_structural_metrics
avg_len_chars,438.1
avg_len_tokens_est,46.1
pct_starts_with_select,100.0
pct_has_join,53.333333333333336
pct_has_groupby,60.0
pct_has_orderby,50.0
pct_has_limit,26.666666666666668
pct_safe_select,96.66666666666667
