metric,value
completed,true
EX,0.16666666666666666
executable_count,21
total,30
model,Qwen/Qwen2.5-7B-Instruct
subset,bird_minidev_30
benchmark_group,external_validation
quantization,bf16
plan_validator,plan_schema_v1
fallback_policy,b1_on_invalid_plan
avg_reduction_ratio,0.5311263736263736
schema_strategy,full_schema_planner_full_schema_synth
patches,"distinct_cue,superlative_subquery,anti_overengineering"
avg_len_chars,199.8
avg_len_tokens_est,27.833333333333332
pct_starts_with_select,100.0
pct_has_join,53.333333333333336
pct_has_groupby,33.333333333333336
pct_has_orderby,16.666666666666668
pct_has_limit,20.0
pct_safe_select,100.0
