metric,value
completed,true
EX,0.88
executable_count,24
total,25
model,Qwen/Qwen2.5-7B-Instruct
subset,smoke_25
benchmark_group,internal_core
quantization,bf16
plan_validator,plan_schema_v1
fallback_policy,b1_on_invalid_plan
avg_reduction_ratio,0.58
schema_strategy,full_schema_planner_full_schema_synth
patches,"distinct_cue,superlative_subquery,anti_overengineering"
avg_len_chars,91.16
avg_len_tokens_est,12.36
pct_starts_with_select,100.0
pct_has_join,12.0
pct_has_groupby,24.0
pct_has_orderby,24.0
pct_has_limit,16.0
pct_safe_select,100.0
