metric,value
completed,true
EX,0.0
executable_count,0
total,30
model,Qwen/Qwen2.5-7B-Instruct
subset,spider2lite_30
benchmark_group,external_validation
quantization,bf16
plan_validator,plan_schema_v1
fallback_policy,b1_on_invalid_plan
avg_reduction_ratio,0.8373076923076923
evaluation_mode,prediction_only_structural_metrics
schema_strategy,full_schema_planner_full_schema_synth
patches,"distinct_cue,superlative_subquery,anti_overengineering"
avg_len_chars,515.4333333333333
avg_len_tokens_est,53.233333333333334
pct_starts_with_select,100.0
pct_has_join,56.666666666666664
pct_has_groupby,66.66666666666667
pct_has_orderby,46.666666666666664
pct_has_limit,30.0
pct_safe_select,96.66666666666667
