metric,value
completed,true
EX,0.8
executable_count,9
total,10
model,meta-llama/Llama-3.1-8B-Instruct
subset,smoke_10
benchmark_group,internal_core
quantization,bf16
plan_validator,plan_schema_v1
fallback_policy,b1_on_invalid_or_no_executable
avg_reduction_ratio,0.475
schema_strategy,lex_linker_planner_full_schema_synth
multi_candidate,"k=3,T=0.7,top_p=0.95,top_k=50"
repair_depth,1
avg_len_chars,78.3
avg_len_tokens_est,12.2
pct_starts_with_select,100.0
pct_has_join,20.0
pct_has_groupby,0.0
pct_has_orderby,20.0
pct_has_limit,0.0
pct_safe_select,100.0
