metric,value
completed,true
EX,0.0
executable_count,0
total,30
model,meta-llama/Llama-3.1-8B-Instruct
subset,spider2lite_30
benchmark_group,external_validation
quantization,bf16
plan_validator,plan_schema_v1
fallback_policy,b1_on_invalid_or_no_executable
avg_reduction_ratio,0.8373076923076923
evaluation_mode,prediction_only_structural_metrics
schema_strategy,lex_linker_planner_full_schema_synth
multi_candidate,"k=3,T=0.7,top_p=0.95,top_k=50"
repair_depth,1
avg_len_chars,458.3
avg_len_tokens_est,51.8
pct_starts_with_select,100.0
pct_has_join,66.66666666666667
pct_has_groupby,36.666666666666664
pct_has_orderby,36.666666666666664
pct_has_limit,30.0
pct_safe_select,100.0
