metric,value
completed,true
EX,0.8666666666666667
executable_count,30
total,30
model,Qwen/Qwen2.5-Coder-14B-Instruct
subset,multidb_30
benchmark_group,internal_core
quantization,bf16
plan_validator,plan_schema_v1
fallback_policy,b1_on_invalid_or_no_executable
avg_reduction_ratio,0.5527777777777777
schema_strategy,lex_linker_planner_full_schema_synth
multi_candidate,"k=3,T=0.7,top_p=0.95,top_k=50"
repair_depth,1
avg_len_chars,61.833333333333336
avg_len_tokens_est,8.133333333333333
pct_starts_with_select,100.0
pct_has_join,6.666666666666667
pct_has_groupby,13.333333333333334
pct_has_orderby,16.666666666666668
pct_has_limit,0.0
pct_safe_select,100.0
