metric,value
completed,true
EX,0.88
executable_count,25
total,25
model,Qwen/Qwen2.5-Coder-14B-Instruct
subset,smoke_25
benchmark_group,internal_core
quantization,bf16
plan_validator,plan_schema_v1
fallback_policy,b1_on_invalid_or_no_executable
avg_reduction_ratio,0.58
schema_strategy,lex_linker_planner_full_schema_synth
multi_candidate,"k=3,T=0.7,top_p=0.95,top_k=50"
repair_depth,1
avg_len_chars,78.84
avg_len_tokens_est,11.56
pct_starts_with_select,100.0
pct_has_join,12.0
pct_has_groupby,20.0
pct_has_orderby,24.0
pct_has_limit,16.0
pct_safe_select,100.0
