cell,baseline,benchmark,N,expected,complete,source,EX,EX_lo,EX_hi,exec_pct,safe_pct,planner_used_pct,plan_valid_pct,repair_used_pct,lat_p50,lat_p95,completion_tokens_p50,lm_calls_avg
b0_qwen2p5_coder_7b_spider_dev_full,B0,spider_dev,1034,1034,True,v11_anchor,0.7253384912959381,0.6973359630609106,0.7516728259488958,0.9487427466150871,1.0,0.0,0.0,0.0,829.13,2169.8729999999996,24.0,1.0
b2v5_qwen2p5_coder_7b_spider_dev_full,B2_v5,spider_dev,1034,1034,True,phase_a,0.7475822050290135,0.7202209332101014,0.7731106117963812,0.9497098646034816,0.9825918762088974,0.0,0.0,0.0,1504.455,3965.9639999999995,24.0,1.0
b4v5_qwen2p5_coder_7b_spider_dev_full,B4_v5,spider_dev,1034,1034,True,phase_c,0.7669245647969052,0.7401949528672098,0.7916781190929042,0.9835589941972921,0.9922630560928434,0.025145067698259187,0.025145067698259187,0.02127659574468085,8203.23,14677.924499999994,263.0,4.825918762088975
b0_qwen2p5_coder_7b_bird_full,B0,bird_full,500,500,True,v11_anchor,0.204,0.1709977096296633,0.24151606454063146,0.798,1.0,0.0,0.0,0.0,1948.395,3912.7949999999996,57.0,1.0
b2v5_qwen2p5_coder_7b_bird_full,B2_v5,bird_full,500,500,True,phase_a,0.376,0.33463927845578423,0.41925162693987983,0.842,1.0,0.0,0.0,0.0,3675.0299999999997,6317.089999999997,56.5,1.0
b4v5_qwen2p5_coder_7b_bird_full,B4_v5,bird_full,500,500,True,phase_c,0.34,0.29983814768649814,0.382601730243391,0.984,1.0,0.06,0.06,0.018,14018.744999999999,21644.114999999998,443.0,4.904
b4v5_planner_qwen3_8b_qwen2p5_coder_7b_spider_dev_full,B4_v5_planner_qwen3_8b,spider_dev,0,1034,False,phase_d,,,,,,,,,,,,
b4v5_planner_qwen3_8b_qwen2p5_coder_7b_bird_full,B4_v5_planner_qwen3_8b,bird_full,500,500,True,phase_d,0.276,0.23863748141495003,0.3167783476868947,0.938,1.0,0.0,0.0,0.052,31647.379999999997,37451.329999999994,733.0,4.916
b4v5_planner_gemma_12b_qwen2p5_coder_7b_spider_dev_full,B4_v5_planner_gemma_12b,spider_dev,0,1034,False,phase_d,,,,,,,,,,,,
b4v5_planner_gemma_12b_qwen2p5_coder_7b_bird_full,B4_v5_planner_gemma_12b,bird_full,253,500,False,phase_d,0.24110671936758893,0.19252183221780472,0.29743618081435197,0.7628458498023716,0.8063241106719368,0.05138339920948617,0.05138339920948617,0.039525691699604744,30624.28,50643.148,454,4.189723320158103
