cell,baseline,benchmark,N,expected,complete,source,EX,EX_lo,EX_hi,exec_pct,safe_pct,judge_invoked_pct,judge_overrode_pct,lat_p50,lat_p95,completion_tokens_p50,lm_calls_avg
b0_qwen2p5_coder_7b_spider_dev_full,B0,spider_dev,1034,1034,True,v11_anchor,0.7253384912959381,0.6973359630609106,0.7516728259488958,0.9487427466150871,1.0,0.0,0.0,829.13,2169.8729999999996,24.0,1.0
b1v5_qwen2p5_coder_7b_spider_dev_full,B1_v5,spider_dev,1034,1034,True,phase_a,0.7485493230174082,0.7212179487184979,0.7740406726356664,0.9487427466150871,0.9825918762088974,0.0,0.0,1471.96,3899.817999999996,23.0,1.0
b2v5_qwen2p5_coder_7b_spider_dev_full,B2_v5,spider_dev,1034,1034,True,phase_a,0.7475822050290135,0.7202209332101014,0.7731106117963812,0.9497098646034816,0.9825918762088974,0.0,0.0,1504.455,3965.9639999999995,24.0,1.0
b3v5_qwen2p5_coder_7b_spider_dev_full,B3_v5,spider_dev,1034,1034,True,phase_b,0.5696324951644101,0.5392499920315542,0.599499505001519,0.8984526112185687,0.9922630560928434,0.0,0.0,12150.720000000001,17486.172999999995,195.0,1.9032882011605416
b4v5_qwen2p5_coder_7b_spider_dev_full,B4_v5,spider_dev,1034,1034,True,phase_c,0.7669245647969052,0.7401949528672098,0.7916781190929042,0.9835589941972921,0.9922630560928434,0.0,0.0,8203.23,14677.924499999994,263.0,4.825918762088975
b5v6_qwen2p5_coder_7b_spider_dev_full,B5_v6,spider_dev,1034,1034,True,phase_r2,0.7659574468085106,0.7391945250269492,0.7907514705854835,0.9835589941972921,0.9922630560928434,0.0,0.0,8582.07,15393.600499999995,263.0,4.825918762088975
b6v7_qwen2p5_coder_7b_spider_dev_full,B6_v7,spider_dev,1034,1034,True,phase_six,0.7678916827852998,0.7411955678387814,0.7926045804690144,0.9816247582205029,0.9922630560928434,0.3713733075435203,0.04932301740812379,9011.82,16250.726499999997,288.0,5.19825918762089
b0_qwen2p5_coder_7b_bird_full,B0,bird_full,500,500,True,v11_anchor,0.204,0.1709977096296633,0.24151606454063146,0.798,1.0,0.0,0.0,1948.395,3912.7949999999996,57.0,1.0
b1v5_qwen2p5_coder_7b_bird_full,B1_v5,bird_full,500,500,True,phase_a,0.23,0.19525432702175258,0.2688629669849353,0.792,1.0,0.0,0.0,3360.0649999999996,6148.811999999994,54.0,1.0
b2v5_qwen2p5_coder_7b_bird_full,B2_v5,bird_full,500,500,True,phase_a,0.376,0.33463927845578423,0.41925162693987983,0.842,1.0,0.0,0.0,3675.0299999999997,6317.089999999997,56.5,1.0
b3v5_qwen2p5_coder_7b_bird_full,B3_v5,bird_full,500,500,True,phase_b,0.238,0.20275841101838785,0.2772368890918055,0.84,1.0,0.0,0.0,17282.839999999997,23621.03999999998,272.0,1.952
b4v5_qwen2p5_coder_7b_bird_full,B4_v5,bird_full,500,500,True,phase_c,0.34,0.29983814768649814,0.382601730243391,0.984,1.0,0.0,0.0,14018.744999999999,21644.114999999998,443.0,4.904
b5v6_qwen2p5_coder_7b_bird_full,B5_v6,bird_full,500,500,True,phase_r2,0.312,0.2729522618972738,0.3539145946703459,0.984,1.0,0.0,0.0,14433.43,22287.91499999999,443.0,4.904
b6v7_qwen2p5_coder_7b_bird_full,B6_v7,bird_full,500,500,True,phase_six,0.388,0.34629528411824795,0.4314126304326744,0.962,1.0,0.652,0.38,14994.66,22553.2555,482.0,5.56
