benchmark,heuristic_top,final_top,count,em,em_rate,override
spider_dev,C0_anchor,C0_anchor,942,757,0.8036,False
spider_dev,C0_anchor,C1_retrieval_direct,5,2,0.4,True
spider_dev,C0_anchor,C2_retrieval_evidence,8,4,0.5,True
spider_dev,C0_anchor,C3_planner_compiled,32,15,0.4688,True
spider_dev,C1_retrieval_direct,C0_anchor,4,2,0.5,True
spider_dev,C1_retrieval_direct,C1_retrieval_direct,8,2,0.25,False
spider_dev,C1_retrieval_direct,C3_planner_compiled,2,1,0.5,True
spider_dev,C2_retrieval_evidence,C2_retrieval_evidence,7,4,0.5714,False
spider_dev,C3_planner_compiled,C3_planner_compiled,26,7,0.2692,False
bird_full,C0_anchor,C0_anchor,229,109,0.476,False
bird_full,C0_anchor,C1_retrieval_direct,18,2,0.1111,True
bird_full,C0_anchor,C2_retrieval_evidence,113,45,0.3982,True
bird_full,C0_anchor,C3_planner_compiled,12,3,0.25,True
bird_full,C1_retrieval_direct,C0_anchor,2,0,0.0,True
bird_full,C1_retrieval_direct,C1_retrieval_direct,27,4,0.1481,False
bird_full,C1_retrieval_direct,C2_retrieval_evidence,24,8,0.3333,True
bird_full,C1_retrieval_direct,C3_planner_compiled,7,3,0.4286,True
bird_full,C2_retrieval_evidence,C0_anchor,1,0,0.0,True
bird_full,C2_retrieval_evidence,C2_retrieval_evidence,32,16,0.5,False
bird_full,C2_retrieval_evidence,C3_planner_compiled,8,0,0.0,True
bird_full,C3_planner_compiled,C0_anchor,2,0,0.0,True
bird_full,C3_planner_compiled,C1_retrieval_direct,2,0,0.0,True
bird_full,C3_planner_compiled,C2_retrieval_evidence,1,0,0.0,True
bird_full,C3_planner_compiled,C3_planner_compiled,22,4,0.1818,False
