instance_id,tag,v7_executable,v8_executable,v7_em,v8_em,v7_source,v8_source,v7_bucket,v8_bucket
bq011,both_miss,True,True,False,False,C0_anchor,C2_cte_decomp,exec_ok_but_rows_mismatch,exec_ok_but_rows_mismatch
bq010,both_miss,False,,False,False,C0_anchor,C2_cte_decomp,syntax_error,unrecognized_column
bq009,both_miss,False,True,False,False,C0_anchor,C0_direct,syntax_error,exec_ok_but_rows_mismatch
bq001,both_miss,False,,False,False,C0_anchor,C2_cte_decomp,function_signature,other_bad_request
bq002,both_miss,False,,False,False,C0_anchor,C2_cte_decomp,function_signature,function_signature
bq003,both_miss,False,True,False,False,C0_anchor,C3_repaired,syntax_error,exec_ok_but_rows_mismatch
bq004,both_miss,False,,False,False,C0_anchor,C2_cte_decomp,syntax_error,syntax_error
bq008,both_miss,False,True,False,False,C0_anchor,C3_repaired,other_bad_request,exec_ok_but_rows_mismatch
bq269,both_miss,False,True,False,False,C0_anchor,C3_repaired,unrecognized_column,exec_ok_but_rows_mismatch
bq268,both_miss,False,True,False,False,C0_anchor,C2_cte_decomp,function_signature,exec_ok_but_rows_mismatch
bq270,both_miss,False,,False,False,C0_anchor,C2_cte_decomp,function_signature,unrecognized_column
bq275,both_miss,True,True,False,False,C0_anchor,C0_direct,exec_ok_but_rows_mismatch,exec_ok_but_rows_mismatch
bq374,both_miss,False,,False,False,C0_anchor,C2_cte_decomp,other_bad_request,function_signature
bq019,both_miss,False,True,False,False,C0_anchor,C1_retrieval_docs,aggregation_error,exec_ok_but_rows_mismatch
bq234,both_miss,False,,False,False,C0_anchor,C1_retrieval_docs,table_or_dataset_not_found,other_bad_request
bq235,both_miss,False,True,False,False,C0_anchor,C1_retrieval_docs,function_signature,exec_ok_but_rows_mismatch
bq172,both_miss,False,True,False,False,C0_anchor,C0_direct,other_bad_request,exec_ok_but_rows_mismatch
bq177,both_miss,False,True,False,False,C0_anchor,C2_cte_decomp,other_bad_request,exec_ok_but_rows_mismatch
bq354,both_miss,False,,False,False,C0_anchor,C0_direct,table_or_dataset_not_found,unrecognized_column
bq355,both_miss,False,True,False,False,C0_anchor,C1_retrieval_docs,table_or_dataset_not_found,exec_ok_but_rows_mismatch
bq032,both_miss,False,True,False,False,C0_anchor,C3_repaired,unrecognized_column,exec_ok_but_rows_mismatch
bq119,both_miss,True,,False,False,C0_anchor,C2_cte_decomp,exec_ok_but_rows_mismatch,unrecognized_column
bq419,both_miss,False,True,False,False,C0_anchor,C1_retrieval_docs,other_bad_request,exec_ok_but_rows_mismatch
bq356,both_miss,True,,False,False,C0_anchor,C2_cte_decomp,exec_ok_but_rows_mismatch,table_or_dataset_not_found
bq042,both_miss,False,,False,False,C0_anchor,C1_retrieval_docs,function_signature,unrecognized_column
bq394,both_miss,False,,False,False,C0_anchor,C2_cte_decomp,other_bad_request,unrecognized_column
bq357,both_miss,False,False,False,False,C0_anchor,C2_cte_decomp,permission_denied,other_bad_request
bq181,both_miss,True,,False,False,C0_anchor,C2_cte_decomp,exec_ok_but_rows_mismatch,other_bad_request
bq045,both_miss,False,,False,False,C0_anchor,C2_cte_decomp,other_bad_request,table_or_dataset_not_found
bq290,both_miss,False,False,False,False,C0_anchor,C2_cte_decomp,syntax_error,other:InternalServerError
bq031,both_miss,False,,False,False,C0_anchor,C2_cte_decomp,syntax_error,syntax_error
bq392,both_miss,True,True,False,False,C0_anchor,C2_cte_decomp,exec_ok_but_rows_mismatch,exec_ok_but_rows_mismatch
bq208,both_miss,False,,False,False,C0_anchor,C2_cte_decomp,table_or_dataset_not_found,table_or_dataset_not_found
bq047,both_miss,False,,False,False,C0_anchor,C2_cte_decomp,syntax_error,table_or_dataset_not_found
bq048,both_miss,False,,False,False,C0_anchor,C2_cte_decomp,table_or_dataset_not_found,table_or_dataset_not_found
bq293,both_miss,False,,False,False,C0_anchor,C2_cte_decomp,syntax_error,other_bad_request
bq034,both_miss,False,True,False,False,C0_anchor,C1_retrieval_docs,table_or_dataset_not_found,exec_ok_but_rows_mismatch
bq383,both_miss,False,False,False,False,C0_anchor,C0_direct,other_bad_request,other_bad_request
bq051,one_no_gold,False,,,,C0_anchor,C2_cte_decomp,permission_denied,permission_denied
bq038,both_miss,False,,False,False,C0_anchor,C2_cte_decomp,function_signature,other_bad_request
bq053,both_miss,False,True,False,False,C0_anchor,C2_cte_decomp,other_bad_request,exec_ok_but_rows_mismatch
bq054,both_miss,False,,False,False,C0_anchor,C2_cte_decomp,aggregation_error,other_bad_request
bq021,both_miss,False,False,False,False,C0_anchor,C0_direct,other:InternalServerError,other:InternalServerError
bq202,both_miss,True,True,False,False,C0_anchor,C3_repaired,exec_ok_but_rows_mismatch,exec_ok_but_rows_mismatch
bq185,both_miss,False,False,False,False,C0_anchor,C1_retrieval_docs,function_signature,other:InternalServerError
bq040,both_miss,False,False,False,False,C0_anchor,C2_cte_decomp,unrecognized_column,other:InternalServerError
bq098,both_miss,False,False,False,False,C0_anchor,C0_direct,other:InternalServerError,other:InternalServerError
bq039,both_miss,False,False,False,False,C0_anchor,C0_direct,other_bad_request,other:InternalServerError
bq203,both_miss,True,True,False,False,C0_anchor,C2_cte_decomp,exec_ok_but_rows_mismatch,exec_ok_but_rows_mismatch
bq035,both_miss,True,True,False,False,C0_anchor,C1_retrieval_docs,exec_ok_but_rows_mismatch,exec_ok_but_rows_mismatch
bq186,both_miss,True,True,False,False,C0_anchor,C2_cte_decomp,exec_ok_but_rows_mismatch,exec_ok_but_rows_mismatch
bq081,both_miss,False,True,False,False,C0_anchor,C3_repaired,function_signature,exec_ok_but_rows_mismatch
bq339,both_miss,True,True,False,False,C0_anchor,C0_direct,exec_ok_but_rows_mismatch,exec_ok_but_rows_mismatch
bq400,both_miss,False,,False,False,C0_anchor,C1_retrieval_docs,function_signature,other_bad_request
bq059,both_miss,False,False,False,False,C0_anchor,C0_direct,unrecognized_column,other_bad_request
bq376,both_miss,False,,False,False,C0_anchor,C1_retrieval_docs,other_bad_request,other_bad_request
