run_id,n,plan_validation_ok,chosen_schema_valid,parse_ok,execute_ok,chosen_family_A,chosen_family_B,chosen_family_C
lite_bq_v18_pilot10,10,0,0,10,1,9,1,0
lite_bq_v18_1_pilot10,10,0,3,9,1,6,4,0
lite_bq_v18_1b_pilot10,10,0,3,9,3,6,4,0
lite_bq_v18_1b_pilot50,50,21,26,48,23,40,10,0
lite_bq_v20_pilot10,10,0,3,9,3,6,4,0
lite_bq_v20a_pilot10,10,5,4,9,3,7,3,0
lite_bq_v20a_pilot50_b,50,27,26,48,21,41,9,0
lite_bq_v21_pilot10,10,5,4,10,3,8,2,0
lite_bq_v21_pilot50,50,27,25,49,22,43,7,0
lite_bq_v22_pilot10,10,5,5,10,3,8,2,0
lite_bq_v22_pilot50,50,27,27,49,22,43,7,0
